State,M: Take up rate,M: Time to complete,M: Online application,M: Mobile accessible,M: Integration with other programs,T: Take up rate,T: Time to complete,T: Online application,T: Mobile accessible,T: Integration with other programs,S: Time to complete,S: Online application,S: Mobile accessible,S: Integration with other programs
SD,99%,15*,Yes,No,"SNAP, TANF",18%,Unknown,Yes,Unknown,"Medicaid, SNAP",15*,Yes,No,"Medicaid, TANF"
TN,85%,30,Yes,No,No,33%,20*,Yes,Yes,SNAP,20*,Yes,Yes,TANF
TX,78%,60*,Yes,Yes,"SNAP, TANF",10%,60*,Yes,Yes,"Medicaid, SNAP",60*,Yes,Yes,"Medicaid, TANF"
UT,52%,60*,Yes,Yes,"SNAP, TANF",18%,60*,Yes,Yes,"Medicaid, SNAP",60*,Yes,Yes,"Medicaid, TANF"
VT,73%,25,Yes,No,No,40%,40*,Yes,No,SNAP,40*,Yes,No,TANF
VA,87%,60*,Yes,No,"SNAP, TANF",35%,60*,Yes,No,"Medicaid, SNAP",60*,Yes,No,"Medicaid, TANF"
WA,69%,20,Yes,Yes,No,50%,45*,Yes,No,SNAP,45*,Yes,No,TANF
WV,63%,50*,Yes,No,"SNAP, TANF",25%,Unknown,Yes,Unknown,"Medicaid, SNAP",50*,Yes,No,"Medicaid, TANF"
WI,92%,60*,Yes,No,"SNAP, TANF",30%,Unknown,Yes,Yes,"Medicaid, SNAP",60*,Yes,No,"Medicaid, TANF"
WY,105%,40,Yes,Yes,No,3%,Unknown,No,No,No,Unknown,No,No,No
